last_name,first_name,gender,country,date,competition,round,location,apparatus,rank,difficulty,execution,penalty,score,full_name
Andrade,Rebeca,F,BRA,2021-07-25,Olympic Games,aa_qual,"Tokyo, Japan",UE,19,6,8.2,0,14.2,Rebeca_Andrade
Andrade,Rebeca,F,BRA,2021-07-25,Olympic Games,qual,"Tokyo, Japan",UE,19,6,8.2,0,14.2,Rebeca_Andrade
Andrade,Rebeca,F,BRA,2021-07-29,Olympic Games,aa_final,"Tokyo, Japan",VT,1,6,9.4,0.1,15.3,Rebeca_Andrade
Andrade,Rebeca,F,BRA,2021-07-25,Olympic Games,aa_qual,"Tokyo, Japan",VT,1,6,9.4,0,15.4,Rebeca_Andrade
Andrade,Rebeca,F,BRA,2021-07-25,Olympic Games,qual,"Tokyo, Japan",VT1,3,6,9.4,0,15.4,Rebeca_Andrade
Andrade,Rebeca,F,BRA,2021-08-01,Olympic Games,final,"Tokyo, Japan",VT1,1,6,9.266,0.1,15.166,Rebeca_Andrade
Andrade,Rebeca,F,BRA,2021-07-25,Olympic Games,qual,"Tokyo, Japan",VT2,3,5.4,9.4,0,14.8,Rebeca_Andrade
Andrade,Rebeca,F,BRA,2021-08-01,Olympic Games,final,"Tokyo, Japan",VT2,1,5.8,9.2,0.1,15,Rebeca_Andrade
Ashikawa,Urara,F,JPN,2021-07-25,Olympic Games,qual,"Tokyo, Japan",BB,12,5.9,8,0,13.9,Urara_Ashikawa
Ashikawa,Urara,F,JPN,2021-08-01,Olympic Games,final,"Tokyo, Japan",BB,6,5.9,7.833,0,13.73,Urara_Ashikawa
Ashikawa,Urara,F,JPN,2021-07-25,Olympic Games,qual,"Tokyo, Japan",FX,85,3.9,6.333,0,NA,Urara_Ashikawa
Ashikawa,Urara,F,JPN,2021-07-25,Olympic Games,qual,"Tokyo, Japan",UE,88,0.5,9.033,6.5,NA,Urara_Ashikawa
Bechdeju,Laura,F,ESP,2021-07-25,Olympic Games,aa_qual,"Tokyo, Japan",BB,45,5,7.666,0,12.666,Laura_Bechdeju
Bechdeju,Laura,F,ESP,2021-07-25,Olympic Games,qual,"Tokyo, Japan",BB,45,5,7.666,0,12.666,Laura_Bechdeju
Bechdeju,Laura,F,ESP,2021-07-25,Olympic Games,team_qual,"Tokyo, Japan",BB,NA,5,7.666,0,12.666,Laura_Bechdeju
Bechdeju,Laura,F,ESP,2021-07-25,Olympic Games,aa_qual,"Tokyo, Japan",FX,62,4.8,7.5,0,12.3,Laura_Bechdeju
Bechdeju,Laura,F,ESP,2021-07-25,Olympic Games,qual,"Tokyo, Japan",FX,62,4.8,7.5,0,12.3,Laura_Bechdeju
Bechdeju,Laura,F,ESP,2021-07-25,Olympic Games,team_qual,"Tokyo, Japan",FX,NA,4.8,7.5,0,12.3,Laura_Bechdeju
Bechdeju,Laura,F,ESP,2021-07-25,Olympic Games,team_qual,"Tokyo, Japan",UB,NA,5.3,7.4,0,12.7,Laura_Bechdeju
Bechdeju,Laura,F,ESP,2021-07-25,Olympic Games,aa_qual,"Tokyo, Japan",UE,56,5.3,7.4,0,12.7,Laura_Bechdeju
Bechdeju,Laura,F,ESP,2021-07-25,Olympic Games,qual,"Tokyo, Japan",UE,56,5.3,7.4,0,12.7,Laura_Bechdeju
Bechdeju,Laura,F,ESP,2021-07-25,Olympic Games,aa_qual,"Tokyo, Japan",VT,52,4.6,8.933,0,13.533,Laura_Bechdeju
Bechdeju,Laura,F,ESP,2021-07-25,Olympic Games,team_qual,"Tokyo, Japan",VT,NA,4.6,8.933,0,13.533,Laura_Bechdeju
Biles,Simone,F,USA,2021-07-25,Olympic Games,aa_qual,"Tokyo, Japan",BB,7,6.5,7.566,0,14.066,Simone_Biles
Biles,Simone,F,USA,2021-07-25,Olympic Games,qual,"Tokyo, Japan",BB,7,6.5,7.566,0,14.066,Simone_Biles
Biles,Simone,F,USA,2021-08-01,Olympic Games,final,"Tokyo, Japan",BB,3,6.1,7.9,0,14,Simone_Biles
Biles,Simone,F,USA,2021-07-25,Olympic Games,team_qual,"Tokyo, Japan",BB,NA,6.5,7.566,0,14.066,Simone_Biles
Biles,Simone,F,USA,2021-07-25,Olympic Games,aa_qual,"Tokyo, Japan",FX,2,6.7,7.733,0.3,14.133,Simone_Biles
Biles,Simone,F,USA,2021-07-25,Olympic Games,qual,"Tokyo, Japan",FX,2,6.7,7.733,0.3,14.133,Simone_Biles
Biles,Simone,F,USA,2021-07-25,Olympic Games,team_qual,"Tokyo, Japan",FX,NA,6.7,7.733,0.3,14.133,Simone_Biles
Biles,Simone,F,USA,2021-07-25,Olympic Games,team_qual,"Tokyo, Japan",UB,NA,6.2,8.366,0,14.566,Simone_Biles
Biles,Simone,F,USA,2021-07-25,Olympic Games,aa_qual,"Tokyo, Japan",UE,10,6.2,8.366,0,14.566,Simone_Biles
Biles,Simone,F,USA,2021-07-25,Olympic Games,qual,"Tokyo, Japan",UE,10,6.2,8.366,0,14.566,Simone_Biles
Biles,Simone,F,USA,2021-07-25,Olympic Games,aa_qual,"Tokyo, Japan",VT,4,6,9.266,0.3,14.966,Simone_Biles
Biles,Simone,F,USA,2021-07-25,Olympic Games,team_qual,"Tokyo, Japan",VT,NA,6,9.266,0.3,14.966,Simone_Biles
Biles,Simone,F,USA,2021-08-01,Olympic Games,team_final,"Tokyo, Japan",VT,NA,5,8.766,0,13.766,Simone_Biles
Biles,Simone,F,USA,2021-07-25,Olympic Games,qual,"Tokyo, Japan",VT1,1,6,9.266,0.3,14.966,Simone_Biles
Biles,Simone,F,USA,2021-07-25,Olympic Games,qual,"Tokyo, Japan",VT2,1,5.8,9.6,0.3,15.4,Simone_Biles
Black,Elsabeth,F,CAN,2021-07-25,Olympic Games,aa_qual,"Tokyo, Japan",BB,6,6.3,7.8,0,14.1,Elsabeth_Black
Black,Elsabeth,F,CAN,2021-07-25,Olympic Games,qual,"Tokyo, Japan",BB,6,6.3,7.8,0,14.1,Elsabeth_Black
Black,Elsabeth,F,CAN,2021-08-01,Olympic Games,final,"Tokyo, Japan",BB,4,6.2,7.666,0,13.86,Elsabeth_Black
Black,Elsabeth,F,CAN,2021-07-25,Olympic Games,team_qual,"Tokyo, Japan",BB,NA,6.3,7.8,0,14.1,Elsabeth_Black
Black,Elsabeth,F,CAN,2021-07-25,Olympic Games,aa_qual,"Tokyo, Japan",FX,63,5.3,6.966,0,12.266,Elsabeth_Black
Black,Elsabeth,F,CAN,2021-07-25,Olympic Games,qual,"Tokyo, Japan",FX,63,5.3,6.966,0,12.266,Elsabeth_Black
Black,Elsabeth,F,CAN,2021-07-25,Olympic Games,team_qual,"Tokyo, Japan",FX,NA,5.3,6.966,0,12.266,Elsabeth_Black
Black,Elsabeth,F,CAN,2021-07-25,Olympic Games,team_qual,"Tokyo, Japan",UB,NA,5.7,7.1,0,12.8,Elsabeth_Black
Black,Elsabeth,F,CAN,2021-07-25,Olympic Games,aa_qual,"Tokyo, Japan",UE,54,5.7,7.1,0,12.8,Elsabeth_Black
Black,Elsabeth,F,CAN,2021-07-25,Olympic Games,qual,"Tokyo, Japan",UE,54,5.7,7.1,0,12.8,Elsabeth_Black
Black,Elsabeth,F,CAN,2021-07-25,Olympic Games,aa_qual,"Tokyo, Japan",VT,13,5.4,9.133,0,14.533,Elsabeth_Black
Black,Elsabeth,F,CAN,2021-07-25,Olympic Games,team_qual,"Tokyo, Japan",VT,NA,5.4,9.133,0,14.533,Elsabeth_Black
Black,Elsabeth,F,CAN,2021-07-25,Olympic Games,qual,"Tokyo, Japan",VT1,12,5.4,9.133,0,14.533,Elsabeth_Black
Black,Elsabeth,F,CAN,2021-07-25,Olympic Games,qual,"Tokyo, Japan",VT2,12,5.2,9.1,0,14.3,Elsabeth_Black
Boyer,Marine,F,FRA,2021-07-25,Olympic Games,aa_qual,"Tokyo, Japan",BB,22,5.8,7.666,0,13.466,Marine_Boyer
Boyer,Marine,F,FRA,2021-07-25,Olympic Games,qual,"Tokyo, Japan",BB,22,5.8,7.666,0,13.466,Marine_Boyer
Boyer,Marine,F,FRA,2021-07-25,Olympic Games,team_qual,"Tokyo, Japan",BB,NA,5.8,7.666,0,13.466,Marine_Boyer
Boyer,Marine,F,FRA,2021-08-01,Olympic Games,team_final,"Tokyo, Japan",BB,NA,5.4,6.666,0,12.066,Marine_Boyer
Boyer,Marine,F,FRA,2021-07-25,Olympic Games,aa_qual,"Tokyo, Japan",FX,44,5.1,7.733,0.1,12.733,Marine_Boyer
Boyer,Marine,F,FRA,2021-07-25,Olympic Games,qual,"Tokyo, Japan",FX,44,5.1,7.733,0.1,12.733,Marine_Boyer
Boyer,Marine,F,FRA,2021-07-25,Olympic Games,team_qual,"Tokyo, Japan",FX,NA,5.1,7.733,0.1,12.733,Marine_Boyer
Boyer,Marine,F,FRA,2021-08-01,Olympic Games,team_final,"Tokyo, Japan",FX,NA,5.2,7.8,0,13,Marine_Boyer
Boyer,Marine,F,FRA,2021-07-25,Olympic Games,team_qual,"Tokyo, Japan",UB,NA,4.3,6.1,0,10.4,Marine_Boyer
Boyer,Marine,F,FRA,2021-07-25,Olympic Games,aa_qual,"Tokyo, Japan",UE,84,4.3,6.1,0,10.4,Marine_Boyer
Boyer,Marine,F,FRA,2021-07-25,Olympic Games,qual,"Tokyo, Japan",UE,84,4.3,6.1,0,10.4,Marine_Boyer
Boyer,Marine,F,FRA,2021-07-25,Olympic Games,aa_qual,"Tokyo, Japan",VT,46,4.6,9.133,0,13.733,Marine_Boyer
Boyer,Marine,F,FRA,2021-07-25,Olympic Games,team_qual,"Tokyo, Japan",VT,NA,4.6,9.133,0,13.733,Marine_Boyer
Brassart,Maellyse,F,BEL,2021-07-25,Olympic Games,aa_qual,"Tokyo, Japan",BB,33,4.9,8.133,0,13.033,Maellyse_Brassart
Brassart,Maellyse,F,BEL,2021-07-25,Olympic Games,qual,"Tokyo, Japan",BB,33,4.9,8.133,0,13.033,Maellyse_Brassart
Brassart,Maellyse,F,BEL,2021-07-25,Olympic Games,team_qual,"Tokyo, Japan",BB,NA,4.9,8.133,0,13.033,Maellyse_Brassart
Brassart,Maellyse,F,BEL,2021-08-01,Olympic Games,team_final,"Tokyo, Japan",BB,NA,4.9,6.033,0,10.933,Maellyse_Brassart
Brassart,Maellyse,F,BEL,2021-07-25,Olympic Games,aa_qual,"Tokyo, Japan",FX,39,4.6,8.166,0,12.766,Maellyse_Brassart
Brassart,Maellyse,F,BEL,2021-07-25,Olympic Games,qual,"Tokyo, Japan",FX,39,4.6,8.166,0,12.766,Maellyse_Brassart
Brassart,Maellyse,F,BEL,2021-07-25,Olympic Games,team_qual,"Tokyo, Japan",FX,NA,4.6,8.166,0,12.766,Maellyse_Brassart
Brassart,Maellyse,F,BEL,2021-07-25,Olympic Games,team_qual,"Tokyo, Japan",UB,NA,5.3,8.066,0,13.366,Maellyse_Brassart
Brassart,Maellyse,F,BEL,2021-07-25,Olympic Games,aa_qual,"Tokyo, Japan",UE,36,5.3,8.066,0,13.366,Maellyse_Brassart
Brassart,Maellyse,F,BEL,2021-07-25,Olympic Games,qual,"Tokyo, Japan",UE,36,5.3,8.066,0,13.366,Maellyse_Brassart
Brassart,Maellyse,F,BEL,2021-07-25,Olympic Games,aa_qual,"Tokyo, Japan",VT,45,5.4,8.466,0.1,13.766,Maellyse_Brassart
Brassart,Maellyse,F,BEL,2021-07-25,Olympic Games,team_qual,"Tokyo, Japan",VT,NA,5.4,8.466,0.1,13.766,Maellyse_Brassart
Brassart,Maellyse,F,BEL,2021-08-01,Olympic Games,team_final,"Tokyo, Japan",VT,NA,5.4,8.733,0.1,14.033,Maellyse_Brassart
Bui,Kim,F,GER,2021-07-29,Olympic Games,aa_final,"Tokyo, Japan",BB,13,4.8,7.8,0,12.6,Kim_Bui
Bui,Kim,F,GER,2021-07-25,Olympic Games,aa_qual,"Tokyo, Japan",BB,44,4.8,7.866,0,12.666,Kim_Bui
Bui,Kim,F,GER,2021-07-25,Olympic Games,qual,"Tokyo, Japan",BB,44,4.8,7.866,0,12.666,Kim_Bui
Bui,Kim,F,GER,2021-07-25,Olympic Games,team_qual,"Tokyo, Japan",BB,NA,4.8,7.866,0,12.666,Kim_Bui
Bui,Kim,F,GER,2021-07-29,Olympic Games,aa_final,"Tokyo, Japan",FX,13,5.3,7.866,0,13.166,Kim_Bui
Bui,Kim,F,GER,2021-07-25,Olympic Games,aa_qual,"Tokyo, Japan",FX,24,5.3,7.9,0,13.2,Kim_Bui
Bui,Kim,F,GER,2021-07-25,Olympic Games,qual,"Tokyo, Japan",FX,24,5.3,7.9,0,13.2,Kim_Bui
Bui,Kim,F,GER,2021-07-25,Olympic Games,team_qual,"Tokyo, Japan",FX,NA,5.3,7.9,0,13.2,Kim_Bui
Bui,Kim,F,GER,2021-07-25,Olympic Games,team_qual,"Tokyo, Japan",UB,NA,5.9,8.166,0,14.066,Kim_Bui
Bui,Kim,F,GER,2021-07-29,Olympic Games,aa_final,"Tokyo, Japan",UE,11,5.7,8.066,0,13.766,Kim_Bui
Bui,Kim,F,GER,2021-07-25,Olympic Games,aa_qual,"Tokyo, Japan",UE,24,5.9,8.166,0,14.066,Kim_Bui
Bui,Kim,F,GER,2021-07-25,Olympic Games,qual,"Tokyo, Japan",UE,24,5.9,8.166,0,14.066,Kim_Bui
Bui,Kim,F,GER,2021-07-29,Olympic Games,aa_final,"Tokyo, Japan",VT,21,4.6,8.866,0,13.466,Kim_Bui
Bui,Kim,F,GER,2021-07-25,Olympic Games,aa_qual,"Tokyo, Japan",VT,54,4.6,8.866,0,13.466,Kim_Bui
Bui,Kim,F,GER,2021-07-25,Olympic Games,team_qual,"Tokyo, Japan",VT,NA,4.6,8.866,0,13.466,Kim_Bui
Callum,Mc,F,USA,2021-07-25,Olympic Games,qual,"Tokyo, Japan",BB,32,5.2,7.866,0,13.066,Mc_Callum
Callum,Mc,F,USA,2021-07-25,Olympic Games,team_qual,"Tokyo, Japan",BB,NA,5.2,7.866,0,13.066,Mc_Callum
Callum,Mc,F,USA,2021-08-01,Olympic Games,team_final,"Tokyo, Japan",BB,NA,5.7,7.966,0,13.666,Mc_Callum
Callum,Mc,F,USA,2021-07-25,Olympic Games,qual,"Tokyo, Japan",FX,16,5.6,7.966,0.1,13.466,Mc_Callum
Callum,Mc,F,USA,2021-07-25,Olympic Games,team_qual,"Tokyo, Japan",FX,NA,5.6,7.966,0.1,13.466,Mc_Callum
Callum,Mc,F,USA,2021-08-01,Olympic Games,team_final,"Tokyo, Japan",FX,NA,5.6,8,0.1,13.5,Mc_Callum
Callum,Mc,F,USA,2021-07-25,Olympic Games,team_qual,"Tokyo, Japan",UB,NA,5.8,8.3,0,14.1,Mc_Callum
Callum,Mc,F,USA,2021-08-01,Olympic Games,team_final,"Tokyo, Japan",UB,NA,5.8,7.9,0,13.7,Mc_Callum
Callum,Mc,F,USA,2021-07-25,Olympic Games,qual,"Tokyo, Japan",UE,22,5.8,8.3,0,14.1,Mc_Callum
Callum,Mc,F,USA,2021-07-25,Olympic Games,team_qual,"Tokyo, Japan",VT,NA,5.4,9.133,0,14.533,Mc_Callum
Callum,Mc,F,USA,2021-08-01,Olympic Games,team_final,"Tokyo, Japan",VT,NA,5.4,9,0.1,14.3,Mc_Callum
Carey,Jade,F,USA,2021-07-29,Olympic Games,aa_final,"Tokyo, Japan",BB,23,5.1,6.433,0,11.533,Jade_Carey
Carey,Jade,F,USA,2021-07-25,Olympic Games,aa_qual,"Tokyo, Japan",BB,41,5.4,7.466,0,12.866,Jade_Carey
Carey,Jade,F,USA,2021-07-25,Olympic Games,qual,"Tokyo, Japan",BB,41,5.4,7.466,0,12.866,Jade_Carey
Carey,Jade,F,USA,2021-07-29,Olympic Games,aa_final,"Tokyo, Japan",FX,3,6.3,7.766,0.1,13.966,Jade_Carey
Carey,Jade,F,USA,2021-07-25,Olympic Games,aa_qual,"Tokyo, Japan",FX,3,6.2,7.9,0,14.1,Jade_Carey
Carey,Jade,F,USA,2021-07-25,Olympic Games,qual,"Tokyo, Japan",FX,3,6.2,7.9,0.3,14.1,Jade_Carey
Carey,Jade,F,USA,2021-08-01,Olympic Games,final,"Tokyo, Japan",FX,1,6.3,8.066,0,14.36,Jade_Carey
Carey,Jade,F,USA,2021-07-29,Olympic Games,aa_final,"Tokyo, Japan",UE,15,5.5,8,0,13.5,Jade_Carey
Carey,Jade,F,USA,2021-07-25,Olympic Games,aa_qual,"Tokyo, Japan",UE,20,5.8,8.333,0,14.133,Jade_Carey
Carey,Jade,F,USA,2021-07-25,Olympic Games,qual,"Tokyo, Japan",UE,20,5.8,8.333,0,14.133,Jade_Carey
Carey,Jade,F,USA,2021-07-29,Olympic Games,aa_final,"Tokyo, Japan",VT,2,6,9.2,0,15.2,Jade_Carey
Carey,Jade,F,USA,2021-07-25,Olympic Games,aa_qual,"Tokyo, Japan",VT,2,6,9.166,0,15.166,Jade_Carey
Carey,Jade,F,USA,2021-07-25,Olympic Games,qual,"Tokyo, Japan",VT1,2,6,9.166,0,15.166,Jade_Carey
Carey,Jade,F,USA,2021-08-01,Olympic Games,final,"Tokyo, Japan",VT1,8,3.3,8.633,0,11.933,Jade_Carey
Carey,Jade,F,USA,2021-07-25,Olympic Games,qual,"Tokyo, Japan",VT2,2,5.8,9.366,0,15.166,Jade_Carey
Carey,Jade,F,USA,2021-08-01,Olympic Games,final,"Tokyo, Japan",VT2,8,5.8,9.1,2,12.9,Jade_Carey
Castro,Simona,F,CHI,2021-07-25,Olympic Games,aa_qual,"Tokyo, Japan",BB,79,4.7,6.733,0,11.433,Simona_Castro
Castro,Simona,F,CHI,2021-07-25,Olympic Games,qual,"Tokyo, Japan",BB,79,4.7,6.733,0,11.433,Simona_Castro
Castro,Simona,F,CHI,2021-07-25,Olympic Games,aa_qual,"Tokyo, Japan",FX,85,3.9,6.333,0,10.233,Simona_Castro
Castro,Simona,F,CHI,2021-07-25,Olympic Games,qual,"Tokyo, Japan",FX,85,3.9,6.333,0,10.2,Simona_Castro
Castro,Simona,F,CHI,2021-07-25,Olympic Games,aa_qual,"Tokyo, Japan",UE,78,4.4,7.133,0,11.533,Simona_Castro
Castro,Simona,F,CHI,2021-07-25,Olympic Games,qual,"Tokyo, Japan",UE,78,4.4,7.133,0,11.533,Simona_Castro
Castro,Simona,F,CHI,2021-07-25,Olympic Games,aa_qual,"Tokyo, Japan",VT,69,4.6,8.6,0,13.2,Simona_Castro
Chiles,Jordan,F,USA,2021-07-25,Olympic Games,aa_qual,"Tokyo, Japan",BB,78,5.6,5.966,0,11.566,Jordan_Chiles
Chiles,Jordan,F,USA,2021-07-25,Olympic Games,qual,"Tokyo, Japan",BB,78,5.6,5.966,0,11.566,Jordan_Chiles
Chiles,Jordan,F,USA,2021-07-25,Olympic Games,team_qual,"Tokyo, Japan",BB,NA,5.6,5.966,0,11.566,Jordan_Chiles
Chiles,Jordan,F,USA,2021-08-01,Olympic Games,team_final,"Tokyo, Japan",BB,NA,5.6,7.833,0,13.433,Jordan_Chiles
Chiles,Jordan,F,USA,2021-07-25,Olympic Games,aa_qual,"Tokyo, Japan",FX,13,5.9,7.666,0,13.566,Jordan_Chiles
Chiles,Jordan,F,USA,2021-07-25,Olympic Games,qual,"Tokyo, Japan",FX,13,5.9,7.666,0,13.566,Jordan_Chiles
Chiles,Jordan,F,USA,2021-07-25,Olympic Games,team_qual,"Tokyo, Japan",FX,NA,5.9,7.666,0,13.566,Jordan_Chiles
Chiles,Jordan,F,USA,2021-08-01,Olympic Games,team_final,"Tokyo, Japan",FX,NA,5.7,6.6,0.6,11.7,Jordan_Chiles
Chiles,Jordan,F,USA,2021-07-25,Olympic Games,team_qual,"Tokyo, Japan",UB,NA,5.7,7.166,0,12.866,Jordan_Chiles
Chiles,Jordan,F,USA,2021-08-01,Olympic Games,team_final,"Tokyo, Japan",UB,NA,5.9,8.266,0,14.166,Jordan_Chiles
Chiles,Jordan,F,USA,2021-07-25,Olympic Games,aa_qual,"Tokyo, Japan",UE,52,5.7,7.166,0,12.866,Jordan_Chiles
Chiles,Jordan,F,USA,2021-07-25,Olympic Games,qual,"Tokyo, Japan",UE,52,5.7,7.166,0,12.866,Jordan_Chiles
Chiles,Jordan,F,USA,2021-07-25,Olympic Games,aa_qual,"Tokyo, Japan",VT,11,5.4,9.3,0,14.7,Jordan_Chiles
Chiles,Jordan,F,USA,2021-07-25,Olympic Games,team_qual,"Tokyo, Japan",VT,NA,5.4,9.3,0,14.7,Jordan_Chiles
Chiles,Jordan,F,USA,2021-08-01,Olympic Games,team_final,"Tokyo, Japan",VT,NA,5.4,9.266,0,14.666,Jordan_Chiles
Chusovitina,Oksana,F,UZB,2021-07-25,Olympic Games,qual,"Tokyo, Japan",VT1,14,5.8,8.8,0.1,14.5,Oksana_Chusovitina
Chusovitina,Oksana,F,UZB,2021-07-25,Olympic Games,qual,"Tokyo, Japan",VT2,14,5.2,8.733,0.1,13.833,Oksana_Chusovitina
d,Alice,F,ITA,2021-07-25,Olympic Games,qual,"Tokyo, Japan",BB,48,5.3,7.3,0,12.6,Alice_d
d,Alice,F,ITA,2021-07-25,Olympic Games,team_qual,"Tokyo, Japan",BB,NA,5.3,7.3,0,12.6,Alice_d
d,Alice,F,ITA,2021-08-01,Olympic Games,team_final,"Tokyo, Japan",BB,NA,5.7,7.433,0,13.133,Alice_d
d,Alice,F,ITA,2021-07-25,Olympic Games,qual,"Tokyo, Japan",FX,28,5,8.033,0,13.033,Alice_d
d,Alice,F,ITA,2021-07-25,Olympic Games,team_qual,"Tokyo, Japan",FX,NA,5,8.033,0,13.033,Alice_d
d,Alice,F,ITA,2021-08-01,Olympic Games,team_final,"Tokyo, Japan",FX,NA,5,8.1,0,13.1,Alice_d
