gymnast,floor_int,hbars_int,pbars_int,horse_int,rings_int,vault_int,avg_diff_hb,sd_diff_hb,avg_diff_fx,sd_diff_fx,avg_diff_pb,sd_diff_pb,avg_diff_vault,sd_diff_vault,avg_diff_ph,sd_diff_ph,avg_diff_sr,sd_diff_sr
Colin_Flores,0.13549338723370846,-0.6345607584213716,-0.18979428171633073,0.35524476169925595,0.45882215837241364,-0.1257299611939278,4.55,0.17320508075688754,4.800000000000001,0.11547005383792526,4.925,0.2217355782608346,4.9,0.20000000000000018,4.225,0.1500000000000003,4.425000000000001,0.04999999999999982
Colin_Van,0.08464452128023559,-0.007199756640684801,0.037709056069614534,-0.01599699919182412,0.14987975867939854,-0.032241260296833656,5.6,NA,5.3,NA,5.4,NA,5.6,NA,4.6,NA,5.1,NA
Colt_Walker,0.12223417086338444,0.03695945424921096,0.26106452229799476,0.11112955045244817,0.6097090056551508,0.174414946970811,5.4,0.20493901531919181,5.388888888888889,0.41965594373380566,6.118181818181818,0.18340219092574567,5.32,0.5006662228138289,5.4625,0.05175491695067638,5.220000000000001,0.1988857852023508
Connor_Mccool,0.11568746770344558,NA,NA,NA,NA,-0.25508468822908287,NA,NA,5.942857142857143,0.18126539343499307,NA,NA,5.2,0,NA,NA,NA,NA
Crew_Bold,0.18367203728598308,0.2534439229987212,0.14076451700026685,NA,0.4508613802365809,-0.38499472186202816,5.666666666666667,0.05773502691896288,5.166666666666667,0.05773502691896288,5.466666666666667,0.23094010767585,5.2,NA,NA,NA,4.8,0
Dallas_Hale,-0.2950524885693103,-0.025881943653758892,0.16338030713907814,-0.36153605128176186,0.7586064099130245,0.5470723401858476,4.78,0.20493901531919212,5.8,0.3807886552931955,5.54,0.42190046219457966,5.2,0,5.9399999999999995,0.21908902300206615,4.4,0
Daniel_Simmons,0.266029429856806,0.5592685763593931,0.04178210808352638,0.5979206727533241,0.16973502823721787,0.08631790655737015,3.7666666666666666,0.05773502691896237,5.3,0,5.05,0.10000000000000009,5.2,0,4.2,0,4.65,0.10000000000000009
Danny_Beaupre,-0.28206737398628384,NA,NA,NA,NA,-0.3774491478758763,NA,NA,4.1,NA,NA,NA,4.4,NA,NA,NA,NA,NA
David_Grossman,-0.0011451777461390091,-0.2978101936282922,-0.022882755114188046,0.13766321175087395,-0.17114798502901435,0.1535674379684522,4,NA,4.8,NA,3.7,NA,4.8,NA,3.6,NA,4.6,NA
David_Shamah,0.052460361454934594,0.15618261891847482,-0.018369857084299175,0.10131753539159598,-0.09746681230131987,-0.04450270011947548,4.8,NA,4.8,NA,5.4,NA,4.8,NA,5.2,NA,4.4,NA
Dominic_Ramalho,0.10819762044125625,0.25143167449707193,-0.23843944364286082,0.34953467972452007,-0.5553295631783842,0.17337445177724525,3.2,NA,4.5,NA,4.1,NA,4.8,NA,3.4,NA,4.1,NA
Donnell_Whittenburg,-0.338000357583204,0.10799630959258012,0.03186047273097071,0.081474784309143,0.4515843562570758,0.09837306389888813,5.266666666666667,0.177525072919719,6.2384615384615385,0.15566235649883142,5.6454545454545455,0.22522715805886429,5.466666666666667,0.3999999999999999,4.9,0.16996731711975946,5.986666666666666,0.051639777949432274
Drake_Andrews,-0.01401884167625965,0.5615810611301634,-0.3055713084579496,0.31407676612719837,0.207775021616723,-0.04450270011947548,4.2,0,4.6,NA,5,0.141421356237309,4.8,NA,3.4,0.8485281374238571,4.6,NA
Erich_Upton,-0.28846253334203,0.2285576665542382,0.04136760068803639,-0.0723826617110796,-1.0184559831988176,-0.08411672773706046,4.2,NA,5,NA,4.5,NA,4.8,NA,4.2,NA,3.9,NA
Ethan_Boder,-0.38284162042337055,NA,0.06940705726499315,NA,0.4603903593805486,-0.4481885502814826,NA,NA,4.2,NA,4.5,NA,5.6,NA,NA,NA,4.6,NA
Ethan_Thomas,0.05461291754484023,NA,NA,NA,-0.7026868109940373,0.121498984337019,NA,NA,5,NA,NA,NA,4,NA,NA,NA,3.9,NA
Evan_Davis,0.06320230559980639,0.16841909803613886,-0.025232840868870777,-0.18876362230433053,0.36039593857574515,0.1931814655860383,4.4,NA,5.3,NA,5.3,NA,4.8,NA,5,NA,4.7,NA
Evan_Hymanson,-0.34373161177072203,0.38408985671140894,-0.15210729873556988,-0.19730988117961165,0.245965311186148,-0.174382402658884,5.033333333333333,0.12110601416389948,5.3,0.14142135623730964,5.2,0.5966573556070518,4.466666666666667,0.6408327915038887,4.25,0.2738612787525832,4.666666666666667,0.13662601021279452
Evan_Manivong,0.1296858882543757,0.3626719382707516,NA,-0.08733248502778007,NA,0.14338291244035056,4.666666666666666,0.11547005383792526,5.6,0,NA,NA,5.2,0,4.233333333333333,0.6506407098647713,NA,NA
Evan_Wenstad,0.08249196519032953,-0.819381202933345,-0.16673858261739424,-0.27245009556168964,0.08673611951791632,0.09414639654207417,4.4,NA,5.1,NA,4.6,NA,4.8,NA,3.4,NA,3.9,NA
Fred_Richard,-0.13057748227482968,-0.07283410668038921,0.0601269071465691,-0.3837894292766768,0.14973224378664546,0.03201295693179196,5.96,0.49799598391954936,5.975,0.25,5.78,0.31937438845342636,5.2,0,5.96,0.4159326868617086,4.925,0.298607881119482
Frederick_Richard,0.16590621033878605,0.21757318508588824,0.05846580542911921,0.2182060419370461,0.42665849210415474,0.2190286018653591,5.966666666666667,0.3774917217635376,5.988888888888889,0.11666666666666653,5.977777777777778,0.12018504251546641,5.25,0.1414213562373093,5.75,0.444007721940573,5.2,0
Fuzzy_Benas,0.00531249052357809,-0.34122295844943373,0.24023459276018413,0.21487403861508092,0.33882130136128574,0.16960166478416935,5.325,0.2217355782608346,5.4,NA,5.225,0.17078251276599338,5.2,NA,5.1,0.4082482904638631,4.725,0.1258305739211794
Garrett_Braunton,-0.4620685308005521,-1.0046777671771556,-0.2036530265061072,0.23436281083667831,0.26791114369387203,-0.19499706567783767,5.425,0.6946221994724904,5.4,0.2708012801545319,5.425,0.29860788111948205,4.933333333333334,0.4618802153517005,4.625,0.6184658438426491,4.95,0.17320508075688754
Garrett_Schooley,-0.0389889459892277,0.4419251576522758,0.0543981936618978,0.15762598152480084,0.2915930269226279,-0.32046108815131047,4.2,0,5.1,0,4.7,0,5.2,0,5.1,0,4.5,0
Gavin_Zborowski,-0.3635102882235328,-0.016793458395639897,0.11424350459084481,-0.23241167671038018,-1.5921092599505302,0.034725355115696147,4.4,NA,5,NA,4.2,NA,4.8,NA,5,NA,4.6,NA
Hunter_Brunett,0.12963983612168545,-0.018392408688132824,0.18653188705498175,0.2895393816505242,0.20251645011308983,NA,4.2,NA,4.5,NA,4.3,NA,NA,NA,4.6,NA,4.1,NA
Ian_Gunther,0.11235265193976457,0.4138132825330501,-0.3855756389681282,-0.11628838248128384,-0.09129684806235135,-0.07623650133936548,4.9799999999999995,0.16431676725154973,5.16,0.16733200530681494,5.58,0.45497252664309323,4.8,0,5.68,0.22803508501982775,5.4,0
Ian_Lasic-Ellis,0.08486544999780024,0.1877130179832938,0.09717939787377618,0.47024891556170556,0.6224245051599488,-0.13572058331911596,5.1875,0.2948970764763288,5.6625000000000005,0.10606601717798207,5.5,0.27688746209726917,5.12,0.17888543819998334,5.242857142857143,0.427617987059879,5.0625,0.07440238091428446
Ian_Sandoval,0.1199178559351409,-0.003184168375173991,0.06436507473493058,0.014676998995094429,-0.0503248176402053,-0.07928243261407524,4.45,0.3535533905932738,5.1,0.14142135623730964,4.65,0.07071067811865513,5.2,0,4.85,0.07071067811865513,4.1,0.28284271247461895
Ignacio_Yockers,-0.1512406875091446,-0.18657163512476949,-0.30617870535658903,-0.5046352679052953,-0.26587363905071204,-0.004888672501889386,4.4,NA,4.8,NA,4.449999999999999,0.21213203435596414,4.8,NA,6.366666666666667,0.1527525231651946,4,NA
Isaiah_Drake,0.15400104797258518,0.1255603302513818,0.1612012888113509,-0.0694387932532923,0.03078409726555019,0.11444459288093435,4.8125,0.15526475085202993,5.466666666666667,0.10327955589886409,5.071428571428571,0.12535663410560177,5.2,0,4.875,0.27124053637210754,5.0125,0.23566016694748032
Izaiha_Mlay,0.08460284867092141,-0.43661434825376805,-0.18387636084437814,-0.7320501891741584,-0.9613791672430526,-0.03537708456964773,4.55,0.0707106781186545,4.3,NA,4.35,0.21213203435596414,4.8,0,3.3499999999999996,0.7778174593052023,4.25,0.21213203435596475
Jack_Freeman,0.1387109169044693,-0.30359465495850646,-0.16484260231498382,0.1640304484988082,0.31303311156489555,0.13376042415966025,5.333333333333333,0.28867513459481287,5.4,0,4.9,NA,4.8,NA,3.4,NA,4.4,NA
Jackson_Harrison,0.3682571720121868,0.30358866088425174,NA,NA,NA,0.11654410063489237,3.9,0,5.2,0,NA,NA,4.8,0,NA,NA,NA,NA
Jacob_Harmon,-0.22842016217589628,-0.10939973661152905,0.07378653930848417,0.20585290839316508,-0.11851639123505973,-0.1671175699653074,4.4,NA,5.1,NA,4.7,NA,5.2,NA,3,NA,4.2,NA
James_Friedman,0.0052916542189213114,0.33579884932652904,-0.1810520716252078,0.21088368166748217,0.002527608503484294,-0.14353776916343958,4.1,NA,4.9,NA,4.8,NA,4.8,NA,4.7,NA,4.3,NA
Jared_Noyman,0.23039324625411575,0.037748784098736415,0.11921050807300637,0.01807707239499887,-0.33955481177840724,0.030009489279207782,3.5,NA,3.9,NA,4,NA,3.2,NA,3.1,NA,4.2,NA
Javier_Alfonso,0.6409751338926987,-0.17033778027587507,0.03282263149426095,NA,0.3662078294698012,0.07811216972635757,4.5,NA,4.98,0.044721359549995635,4.96,0.15165750888103086,4.4,NA,NA,NA,5.383333333333333,0.4400757510550502
Jeremy_Bischoff,-0.08077671100639368,-0.09891376342162735,-0.2537764305633546,-0.20340293825884276,-0.0681524686344192,0.1711289060605964,5.3375,0.21998376563477834,5.6625,0.07440238091428461,5.6499999999999995,0.2000000000000001,4.8,0,5.177777777777778,0.5214829282387341,5.066666666666666,0.21213203435596423
Jesse-Lee_Pakele,-0.20697794649546686,-0.3904164718441813,-0.176672589581717,0.20406886735011767,-1.1500375165035739,0.17337445177724525,4,NA,5.1,NA,5,NA,4.8,NA,5,NA,5.2,NA
Johnny_Jacobson,0.07392341344002057,-0.028230462367056754,-0.2121625513819159,NA,NA,NA,4.9,NA,5.3,NA,5.3,NA,NA,NA,NA,NA,NA,NA
Jordan_Kovach,-0.07190865675248775,-0.0987622077863584,-0.12497315847129412,NA,-0.618488495259077,-0.38499472186202816,3.8,NA,4.7,NA,4.8,NA,5.2,NA,NA,NA,4.7,NA
Joshua_Karnes,0.11631218232446416,0.04939296786652304,-0.08615978905334869,-0.4706141864955962,-0.058742420015046086,-0.0871325315456004,5.35,0.17728105208558365,5.283333333333333,0.04082482904638616,5.9125,0.2474873734152917,5.333333333333333,0.20655911179772862,5.4875,0.2695896352395089,4.699999999999999,0.10954451150103332
Kameron_Nelson,-0.3010751860669464,-0.0018288546366773955,-0.18214609659468514,0.11655855866096475,0.13541787127868277,0.26995586147153855,4.557142857142857,0.3047247001100219,5.9875,0.03535533905932725,5.014285714285714,0.20354009783964302,5.24,0.126491106406735,3.966666666666667,0.42739521132865615,4.742857142857143,0.23704530408864086
Kazuki_Hayashi,-0.04421993265953416,-0.37459093287692224,-0.03574571830162543,-0.4013662576184682,-0.19044232473142475,0.18620999534893656,4.8,0,5.4,0,4.95,0.0707106781186545,5.2,0,3.85,0.21213203435596414,4.3,0
Kellen_Ryan,0.06102891320524336,0.1700180483286313,0.1890153887960623,0.1085783599697225,0.35513736707211124,0.1894086785929624,4.6,NA,4.6,NA,4.2,NA,5.2,NA,4.4,NA,4.2,NA
Kelton_Christiansen,0.022449594024196027,0.1293112352444105,NA,0.04720347764479547,NA,NA,5.3,NA,5,NA,NA,NA,NA,NA,4.7,NA,NA,NA
Khoi_Young,0.5196065942950254,0.46232965120075414,0.20296028676212857,0.33407967119654997,0.4457425724657854,0.45349108931019305,4.7625,0.20658792662827954,5.4625,0.18468119248354128,5.571428571428571,0.17043362064926942,5.466666666666667,0.2093072473889133,6.15,0.4400413203738526,4.585714285714285,0.0899735410842436
Landen_Blixt,0.07463119403628261,0.4723810000962149,0.21294773724745433,0.12241989216952259,0.33606790304623546,0.0763868268885632,4.6125,0.27483761439387144,5.425,0.22519832529192046,5.0875,0.27483761439387117,5.15,0.14142135623730964,5.225,0.35757117173668096,4.35,0.3070597894314955
Landon_Simpson,0.19073070091739658,-0.16057421939644934,-0.02929388209199775,-0.363790160946324,-0.04137370389577796,-0.23169424840354289,4.2,0.2121320343559645,4.4399999999999995,0.25099800796022254,4.94,0.05477225575051642,5.04,0.21908902300206665,4.44,0.3209361307176244,3.96,0.05477225575051666
Leo_Koike,0.14038178026655743,0.24559099654937958,0.16097593221910594,-0.338814197692288,NA,0.21298847939483076,4.4,NA,5,NA,4.2,NA,4.8,NA,4.4,NA,NA,NA
Luke_Esparo,0.09108135324529529,NA,-0.1287651190761144,NA,-0.18168042095548997,0.12998763716658437,NA,NA,5.4,NA,4.2,NA,5.2,NA,NA,NA,5.4,NA
Mathew_Davis,0.06963913756486609,0.07421386952775631,-0.2090915282021646,0.3622722878377257,0.41302753236969975,0.07433938273328113,4.2,NA,5.4,NA,4.8,NA,4.8,NA,3.8,NA,4.3,NA
Matt_Burgoyne,0.11465528871097375,NA,0.11555196345458393,NA,0.13409894652876445,-0.08411672773706046,NA,NA,5.1,NA,4.9,NA,4.8,NA,NA,NA,4.2,NA
Matt_Cormier,-0.48918664510838483,-0.036797558821910624,-0.40241809146540763,-0.3167925075302711,-0.051499874080787454,-0.489865818185825,5.257142857142857,0.21491969707422398,5.8,0.30000000000000004,5.014285714285714,0.2968084198523318,5.333333333333333,0.20655911179772862,4.4125,0.20310096011589876,4.783333333333333,0.2786873995477131
Maxim_Bereznev,-0.2235590476428066,0.20833406413533517,-0.21938590654845164,-0.6650348221912953,0.2048839574104733,-0.1733050169748263,4.36,0.08944271909999167,5.18,0.10954451150103332,4.680000000000001,0.31937438845342636,5.2,0,4.7,0.18708286933869736,4.5,0
Maxwell_Odden,-0.06331926869752139,0.370664984463057,0.1018259958854413,0.1967664893033456,0.7130107947841094,0.0149183413069031,4.6,NA,5,NA,4.7,NA,4.8,NA,3.4,NA,4,NA
Micah_Puckett,0.07172918474080077,0.2783030581711377,0.12724853473491887,0.002175838987814863,-0.8710936377434293,-0.23880005121432668,2.7,NA,4.1,NA,3.3,NA,4.4,NA,3.8,NA,3.5,NA
Michael_Artlip,0.3940731051098958,-0.19907407146816605,0.4417158499507181,0.19263043698721669,0.45740097336806546,0.2560556271328979,4.9375,0.11877349391654206,4.928571428571429,0.33022358947782476,4.3374999999999995,0.10606601717798207,4.857142857142857,0.15118578920369102,4.7125,0.25319388392523,3.9857142857142858,0.1463850109422801
Michael_Jaroh,-0.4120726987064765,0.505456132461717,0.18796094287954346,0.14060419513452885,0.5358319989569449,-0.19495060554089916,5.033333333333333,0.3141125063837265,4.933333333333334,0.13662601021279447,5.05,0.12247448713915883,5.2,0,5.15,0.4764451699828638,4.85,0.17606816861658992
Mike_Fletcher,-0.22352493560427356,-0.09977447037080288,0.021867164262990516,0.4541464291469997,0.3295996746507208,-0.06054443416896933,4.84,0.32093613071762406,5.22,0.3898717737923586,5.34,0.20736441353327725,5.2,0,4.92,0.2774887385102322,4.68,0.2049390153191922
Nick_Yeatts,-0.02045567364131997,0.11811858319696249,0.1890153887960623,0.04898751868784328,-0.02904930871699523,0.17714723877032168,3.9,NA,4.5,NA,4.2,NA,4.4,NA,2.7,NA,4.3,NA
Nicky_Franz,0.0010073783437668277,NA,NA,0.0603870960187629,-0.06588989508084246,-0.22653861139168602,NA,NA,5,NA,NA,NA,5.2,NA,4.6,NA,4.4,NA
Nicolas_Kuebler,-0.297010248787682,0.3235623702088665,0.050126564775018236,0.13632518096858792,0.47091769766728686,-0.06430971392826741,4.5,NA,5.7,NA,4.9,NA,4.8,NA,5.1,NA,4.4,NA
Noah_Newfeld,-0.24810303198554712,-0.28736567412315317,-0.04561299194862986,-0.15990772199613457,-0.12116877577110656,0.28754566141734555,4.225,0.1500000000000003,5.1,0.14142135623730942,5.199999999999999,0.20000000000000018,4,0,5.199999999999999,0.20000000000000018,4.75,0.17320508075688779
Oliver_Zavel,0.0016411589163166378,-0.09325815710490179,-0.22638426279314997,-0.1674639678963082,0.05289171397652349,-0.15899971515781383,4.8,0,5.4,0.14142135623730964,5.2,0,4.8,0,4.45,0.0707106781186545,4.6,0
Paul_Juda,0.572981356679318,0.7236608080961056,0.47039113777894614,0.33231385588996304,0.47197513218379844,0.4282492510594679,5.375,0.07071067811865482,5.6,0.16733200530681525,4.88,0.5718391382198318,5.292307692307692,0.29000442083279354,5.475,0.3947573094109003,5.2,0
Raydel_Gamboa,0.11037101283581927,0.2658222271295048,0.2513697642958773,0.13721720149011174,-0.2553513984037111,0.1931814655860383,5,NA,5.2,NA,4.7,NA,4.8,NA,4.1,NA,4.4,NA
Riley_Loos,0.07381007295538405,-0.026801171970683248,0.06342441126504224,-0.024818554842151907,0.2857505457728333,-0.033859377130952904,5.233333333333333,0.239791576165636,5.766666666666667,0.14974726182552534,5.388888888888889,0.32188679859713276,5.6,0,5.49,0.2685351208149711,5.666666666666667,0.049236596391733355
Rithik_Puri,-0.1943157363032756,-0.48378948698905117,0.029342707122408808,-0.4793500066638528,-0.5355957426907813,-0.007003125094679157,4.55,0.3535533905932738,5.15,0.07071067811865513,4.9,0,4.8,0,4.5,0.8485281374238568,4.85,0.07071067811865513
Robert_Neff,-0.02256655712191143,-0.13946902087057894,-0.06451476327388958,-0.03826703665561126,NA,0.11018062335779133,4.5,NA,5.3,NA,5,NA,5.2,NA,5.1,NA,NA,NA
Ryan_Swatscheno,-0.3409008665402376,-0.09257518200391703,NA,NA,-0.5936454731350636,-0.531921375381603,3.75,0.49497474683058307,4.6,0.2828427124746186,NA,NA,4.8,0,NA,NA,3.65,0.21213203435596414
Samuel_Phillips,0.20474091997471205,-0.3286375909247358,0.04953904333634731,NA,0.3340826904986347,0.05453236892448863,4.7,0.2828427124746193,5.5,0.141421356237309,5.3,NA,4.8,NA,NA,NA,4.6,NA
Saran_Alexander,0.011707649879324235,0.22216186538426846,0.11234752428843457,-0.2642556969933936,-0.8658350662397969,0.10923754451437885,3.4,NA,4.5,NA,3.9,NA,3.2,NA,4,NA,4,NA
Shane_Wiskus,0.18576724508205444,-0.027702337082913923,0.11593714315355237,0.29189793996033814,0.3427224687796106,0.20410642146194258,5.69,0.2960855732160328,5.711111111111111,0.20883273476902783,6.01,0.26853512081497116,5.2,0,5.35,0.14142135623730964,5.5,0
Solen_Chiodi,0.14679777592696097,0.21552171229032943,0.0918919889211184,-0.02646300253257499,0.5761757876154587,0.0507595819314133,4.5,NA,4.6,NA,5.1,NA,5.2,NA,4.1,NA,4.2,NA
Spencer_Goodell,-0.01826144494209996,NA,0.04705554159526653,NA,NA,NA,NA,NA,5.7,NA,5.4,NA,NA,NA,NA,NA,NA,NA
Syam_Buradagunta,0.16184483225164423,-0.15570287571947336,NA,-0.01417140468013115,NA,NA,4.4,NA,5.5,NA,NA,NA,NA,NA,5,NA,NA,NA
Tate_Costa,-0.06331926869752139,-0.32468157730235725,0.18404838531390097,0.04266026809988572,NA,NA,4.5,NA,5,NA,4.4,NA,NA,NA,4.9,NA,NA,NA
Taylor_Burkhart,-0.08709215895601419,-0.024122116507618457,0.016099219934547274,0.07950393903792484,0.35869097589441346,0.22878387034983486,5.4818181818181815,0.29603439603593995,6.054545454545455,0.18090680674665807,5.525,0.1488047618285689,5.346666666666667,0.09154754164341276,4.933333333333334,0.31224989991992,4.97,0.1251665557034571
Taylor_Christopulos,-0.2983378833469844,-0.20545878695646125,-0.06117726092650489,0.4647381221544086,0.094627677728057,0.1855255320301418,4.95,0.25927248643506756,5.4625,0.33354160160315827,4.75,0.3251373336211724,5.2,0,4.9875,0.22320714274285353,4.65,0.40708019567928605
Toby_Liang,0.07678767151796315,0.6775672360100086,0.04487899503519038,0.6278247294493323,0.2933727551484488,-0.1257299611939278,4.425,0.2629955639676582,4.925,0.09574271077563386,4.625,0.1499999999999999,4.9,0.20000000000000018,4.425,0.29860788111948205,4.300000000000001,0.11547005383792526
Troy_Nuesca,0.12107128437137646,-0.0987622077863584,-0.09007071810976594,-0.22425883161073007,-0.09746171466158322,-0.08411672773706046,3.8,NA,4.7,NA,4.9,NA,4.8,NA,3.2,NA,3.8,NA
Tucker_Yasunaga,0.09962906869094726,-0.130430442337901,-0.00974430898371538,-0.20332682492922893,-0.7974175626554723,-0.0963781675597006,3.7,NA,4.7,NA,4.3,NA,4,NA,4.2,NA,3.9,NA
Tyler_Flores,0.10391334456610177,0.15218524318724372,0.018273436537891333,-0.5472782316348423,0.15514852546250502,0.1916145912301037,4.3,NA,4.6,NA,4.6,0.4242640687119289,4.8,0,4.4,0.4242640687119289,4.4,NA
Tyler_Shimizu,0.17766061394674412,0.11971753348945492,0.1279165182238136,0.1475334882848063,NA,NA,4.1,NA,5.066666666666666,0.11547005383792526,4.7,0,NA,NA,4.566666666666666,0.5773502691896261,NA,NA
Vahe_Petrosyan,-0.5227602801454901,0.329278600243804,-0.3590983924559109,-0.04490837905610752,0.12675342236053966,0.10727726295936942,4.6,0.20000000000000018,4.833333333333333,0.05773502691896288,5.15,0.288675134594813,4.8,0,5.3,0.2828427124746193,4.325,0.09574271077563394
Vitaliy_Guimaraes,0.20472926361250263,0.4007342687221072,0.22333030771892032,0.4177659298354568,0.6814287799238947,0.33183056224758795,4.5,NA,5.5,NA,4.7,NA,4.8,NA,5.2,NA,4.6,NA
will_Fleck,0.1811344918421676,-0.4159957233009467,0.3114614194105809,0.06812815533743949,NA,NA,4.2,0.19999999999999996,5.3,NA,4.2,0,NA,NA,4.65,0.10000000000000009,NA,NA
William_Pearce,0.028844753379942172,0.13994876406958115,0.0743740607471547,-0.14012634809260893,-0.1500882108158012,-0.080343940743984,4.7,NA,4.1,NA,4.3,NA,4.4,NA,4.3,NA,3.6,NA
Yul_Moldauer,0.44999532200767306,-0.32137067476533776,-0.1082733543559133,0.11057485820163582,0.057757323739795856,0.29659164118276027,5.2555555555555555,0.1810463415200037,5.641666666666667,0.10836246694508317,6.442857142857143,0.18277470669267507,5.15,0.14142135623730964,5.8307692307692305,0.32502465389724744,5.827272727272727,0.04670993664969163
